District,Gas Stove -Yes,Refrigerator/Freezer,Clothes washer,Car/van/autombile,Motorcycle,Cellular Phone,No Cable/satellite Tv,Average Age
 Ahuaycha,454.0,454.0,12.0,23.0,64.0,858.0,1133.0,29.9659178931061
 Aija,247.0,247.0,34.0,20.0,29.0,415.0,499.0,35.4933068914229
 Ajoyani,331.0,331.0,4.0,14.0,74.0,478.0,849.0,29.4195509822264
 Alberto Leveau,93.0,93.0,12.0,4.0,22.0,178.0,170.0,34.7526753864447
 Alca,243.0,243.0,10.0,9.0,9.0,348.0,579.0,34.2628447809627
 Alcamenca,183.0,183.0,5.0,5.0,4.0,391.0,610.0,38.6159895150721
 Alexander Von Humboldt,881.0,881.0,72.0,55.0,404.0,1032.0,950.0,27.3938096165077
 Alfonso Ugarte,12.0,12.0,,,,59.0,164.0,37.3395872420263
 Alis,74.0,74.0,2.0,10.0,12.0,89.0,49.0,35.6877444589309
 Allauca,198.0,198.0,4.0,12.0,47.0,237.0,351.0,35.4401746724891
 Alonso de Alvarado,1540.0,1540.0,61.0,75.0,188.0,2859.0,3019.0,26.7226266528005
 Alto Biavo,850.0,850.0,18.0,24.0,232.0,902.0,1578.0,25.7164550333813
 Alto Inambari,861.0,861.0,9.0,22.0,38.0,1510.0,2817.0,31.2468201090248
 Alto Laran,1804.0,1804.0,380.0,236.0,371.0,1819.0,1138.0,28.3864833611718
 Alto Nanay,81.0,81.0,1.0,,,202.0,605.0,25.6182136602452
 Alto Pichigua,228.0,228.0,,2.0,68.0,418.0,732.0,36.9648397104447
 Alto Saposoa,628.0,628.0,15.0,13.0,63.0,740.0,1040.0,26.3945426079177
 Alto Selva Alegre,23892.0,23892.0,10305.0,6088.0,1316.0,23219.0,16634.0,32.338348666589
 Alto Tapiche,33.0,33.0,1.0,,,46.0,296.0,25.6792079207921
 Alto de la Alianza,7952.0,7952.0,1623.0,1492.0,406.0,7849.0,7174.0,32.5509820615954
 Amantani,639.0,639.0,1.0,,2.0,642.0,1161.0,36.0958864426419
 Amarilis,19524.0,19524.0,5039.0,3090.0,5000.0,19882.0,14118.0,30.1361510416027
 Amashca,82.0,82.0,2.0,25.0,7.0,278.0,505.0,36.1376659678546
 Ambar,273.0,273.0,9.0,13.0,37.0,293.0,612.0,33.929347826087
 Ambo,4268.0,4268.0,250.0,399.0,465.0,4752.0,4009.0,29.2918222732931
 Amotape,443.0,443.0,52.0,23.0,124.0,558.0,494.0,33.2461665975963
 Ananea,4238.0,4238.0,153.0,238.0,307.0,4257.0,3330.0,31.6843440348791
 Anapia,356.0,356.0,1.0,,,260.0,603.0,39.1245791245791
 Ancahuasi,819.0,819.0,23.0,77.0,37.0,1446.0,2000.0,32.1540389150943
 Anchihuay,515.0,515.0,4.0,17.0,156.0,881.0,1035.0,26.1666254023273
 Anchonga,502.0,502.0,5.0,27.0,90.0,1173.0,1793.0,25.9758257203092
 Anco,590.5,590.5,12.5,20.5,135.5,1301.5,1771.5,28.6968609172765
 Anco_Huallo,1352.0,1352.0,140.0,129.0,115.0,2469.0,2991.0,30.6310165575664
 Ancón,16756.0,16756.0,5550.0,2122.0,1148.0,15941.0,10349.0,30.1443872362065
 Andabamba,125.5,125.5,1.0,9.5,18.0,423.5,688.0,32.5178523565315
 Andagua,178.0,178.0,14.0,6.0,15.0,221.0,328.0,38.364161849711
 Andahuaylas,8398.0,8398.0,1604.0,1090.0,775.0,10458.0,9388.0,28.2663480647298
 Andahuaylillas,1065.0,1065.0,147.0,154.0,90.0,1281.0,1504.0,28.9675694324651
